18060
7740
128
data has 18060 smiles, 128 unique characters.
data has 7740 smiles, 128 unique characters.











































































epoch 1 iter 564: train loss 0.26749. lr 5.879225e-04: 100%|██████████| 565/565 [02:31<00:00,  3.72it/s]
epoch 2 iter 5: train loss 0.16374. lr 5.876374e-04:   1%|          | 6/565 [00:01<02:30,  3.71it/s]










































































epoch 2 iter 564: train loss 0.15235. lr 5.474033e-04: 100%|██████████| 565/565 [02:30<00:00,  3.75it/s]
epoch 3 iter 3: train loss 0.12507. lr 5.470221e-04:   1%|          | 4/565 [00:01<02:31,  3.70it/s]










































































epoch 3 iter 564: train loss 0.12971. lr 4.823153e-04: 100%|██████████| 565/565 [02:29<00:00,  3.77it/s]
Saving at epoch 3












































































epoch 4 iter 564: train loss 0.08991. lr 3.991222e-04: 100%|██████████| 565/565 [02:34<00:00,  3.66it/s]
Saving at epoch 4









































































epoch 5 iter 564: train loss 0.08439. lr 3.060855e-04: 100%|██████████| 565/565 [02:30<00:00,  3.77it/s]
Saving at epoch 5









































































epoch 6 iter 564: train loss 0.07488. lr 2.124444e-04: 100%|██████████| 565/565 [02:29<00:00,  3.77it/s]
epoch 7 iter 0: train loss 0.07015. lr 2.122836e-04:   0%|          | 1/565 [00:00<02:39,  3.53it/s]










































































epoch 7 iter 564: train loss 0.06653. lr 1.274983e-04: 100%|██████████| 565/565 [02:29<00:00,  3.77it/s]
epoch 8 iter 1: train loss 0.06121. lr 1.272232e-04:   0%|          | 2/565 [00:00<02:38,  3.55it/s]











































































epoch 8 iter 564: train loss 0.04072. lr 6.000000e-05: 100%|██████████| 565/565 [02:29<00:00,  3.77it/s]
epoch 9 iter 2: train loss 0.04055. lr 6.000000e-05:   1%|          | 3/565 [00:00<02:27,  3.82it/s]











































































epoch 9 iter 564: train loss 0.06665. lr 6.000000e-05: 100%|██████████| 565/565 [02:30<00:00,  3.76it/s]
epoch 10 iter 0: train loss 0.06143. lr 6.000000e-05:   0%|          | 1/565 [00:00<02:38,  3.55it/s]











































































epoch 10 iter 564: train loss 0.05575. lr 6.000000e-05: 100%|██████████| 565/565 [02:30<00:00,  3.75it/s]
Saving at epoch 10
