drug_id	smiles
drug_6435893	CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)[C@@H]([C@H](C)C/C=C/C)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
drug_6438588	CCCCCCCC/C=C/CCCCCCCCO[C@H]1CC[C@@]2([C@H]3CC[C@]4([C@H]([C@@H]3CC=C2C1)CC[C@@H]4[C@H](C)CCCC(C)C)C)C
drug_500902	C[C@]1([C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O)O
drug_2982	CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Br)Br)C
drug_56841936	O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
drug_5281416	C1=CC(=O)OC2=CC(=C(C=C21)O)O
drug_65702	C1CN(P(=O)(OC1)N(CCCl)CCCl)CCCl
drug_104807	C(CN)CNCCS
drug_198521	C(CCl)N(CCCl)C(=O)N(CCCl)N=O
drug_54682507	CC(=O)CC(C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O
drug_23698758	CC(=O)OCC1=C(N2[C@@H]([C@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+]
drug_3552	C1=CC(=CC=C1C(=O)O)S(=O)(=O)N(Cl)Cl
drug_9796068	C1=CC(=C(C=C1C(=O)N)[N+](=O)[O-])I
drug_164218	CC(=O)N[C@H]1CSSC([C@H](NC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](N(C1=O)C)CCCN=C(N)N)CC(=O)O)C(=O)N)(C)C
drug_60165168	C[C@@H]1CC[C@@H]2[C@H]([C@H](C=CC2=C1)C)CCC(=O)O
drug_3083689	C[C@@]12CC[C@@H]3C4(C=CC(=O)C(C4=C(C(=O)C3(C15C(O5)C[C@H]2C6=COC=C6)C)O)(C)C)C
drug_85845	CC12C(O1)C(=O)C3=CC=CC=C3C2=O
drug_72981	CC(C)[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](CN2CC[C@H](C[C@H]2C(=O)NC(C)(C)C)OCC3=CC=NC=C3)O)NC(=O)C4=NC5=CC=CC=C5C=C4
drug_3032325	CC/C(=C(/CC)\C1=CC=C(C=C1)OP(=O)(O)O)/C2=CC=C(C=C2)OP(=O)(O)O
